table,column,text
contest_file_attachments,url_file,string
contest_file_attachments,url_file_webp,string
contest_file_attachments,url_thumbnail,string
gigs_portfolios,url,string
gigs_portfolios,url_webp,string
contest_submissions,file_submission,string
contest_submissions,file_submission_webp,string
gigs_briefs_attachments,url_file,string
gigs_briefs_attachments,url_file_webp,string
workspace_attachments,url_file,string
workspace_attachments,url_file_webp,string
user_profile_files,avatar_url,string
user_profile_files,avatar_thumbnail_url,string
bank_account_files,file_url,string
bank_account_files,file_url_wep,string
mbank_codes,icon_url,string
mcategories,main_asset_url,string
mcategories,fallback_asset_url,string
mcategories,image,string
mcategories,thumbnail,string
mcontest_features,url_file,string
mmember_attachments,url,string
